typecode,segment,status_now,train_flights,val_flights,faa_engine_class,faa_aac,faa_approach_speed_kt,approach_speed_ms,faa_mtow_kg,faa_malw_kg,wing_area_m2,wing_area_source,thrust_total_kN,thrust_source,power_total_kW,thrust_to_weight,stall_margin_now,recommendation,recommendation_zh,model_code_after,stall_margin_after,stall_margin_own_mass_and_area,nearest_existing,nearest_existing_engine,nearest_existing_aac,nearest_existing_class_match,nearest_existing_stall_margin,second_nearest_existing,similarity_distance_nearest,distance_speed_term,distance_thrust_to_weight_term,similarity_distance_A320,ps_model_code,stall_margin_ps,notes
C82S,piston_ga,A320,10,2,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
T206,piston_ga,A320,10,4,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
B762,airliner,OpenAP 同义 B763,9,2,Jet,C,135.0,69.4,142882,117934,283.3,PS,504.4,PS F00,,0.36,1.23,keep OpenAP synonym (B763),保留 OpenAP 的同义机型 B763,B763,1.23,1.32,GLF6,Jet,C,True,1.6,B737,0.082,0.029,0.053,0.152,B762,1.26,
DA62,piston_ga,A320,9,3,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
LJ35,business_jet,A320,8,3,Jet,C,128.0,65.8,8301,6486,,,,,,,1.23,surrogate B737,改用 B737,B737,1.25,,B737,Jet,C,True,1.25,A19N,0.031,0.031,,0.121,,,thrust-to-weight not checked (no thrust from a primary document)
C210,piston_ga,A320,7,2,Piston,A,85.0,43.7,1724,1724,,,,,,,0.81,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,2.08,,0.631,0.631,,0.94,,,
FA10,business_jet,A320,7,3,Jet,B,107.0,55.0,8500,8001,,,,,,,1.02,surrogate C550,改用 C550,C550,1.4,,C550,Jet,B,True,1.4,,0.038,0.038,,0.48,,,thrust-to-weight not checked (no thrust from a primary document)
FA20,business_jet,A320,7,1,Jet,B,107.0,55.0,13000,12392,,,,,,,1.02,surrogate C550,改用 C550,C550,1.4,,C550,Jet,B,True,1.4,,0.038,0.038,,0.48,,,thrust-to-weight not checked (no thrust from a primary document)
G200,piston_ga,A320,7,0,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
H64,rotorcraft,A320,7,1,,,,,,,,,,,,,,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,,,,,,,,,,,,,
P28B,piston_ga,A320,7,0,Piston,A,62.0,31.9,1361,1361,,,,,,,0.59,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.52,,0.0,0.0,,1.571,,,
TBM8,turboprop,A320,7,1,Turboprop,A,85.0,43.7,3354,3186,,,,,,,0.81,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.11,C172,0.423,0.423,,0.94,,,
B78X,airliner,A320,6,3,Jet,D,149.0,76.7,254012,201849,377.0,PS,688.6,PS F00,,0.276,1.43,PS parameters (B78X),用 PS 本机参数（B78X）,B78X,1.28,1.28,B773,Jet,D,True,1.26,B739,0.014,0.0,0.014,0.309,B78X,1.28,
C30J,military,A320,6,1,Turboprop,C,128.0,65.8,70307,58967,,,,,,,1.23,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,B737,Jet,C,False,1.25,A19N,0.031,0.031,,0.121,,,
COL4,piston_ga,A320,6,0,Piston,A,78.0,40.1,1542,1465,,,,,,,0.75,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.91,,0.459,0.459,,1.112,,,
GA8,piston_ga,A320,6,0,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
P28S,piston_ga,A320,6,2,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
PA24,piston_ga,A320,6,0,Piston,A,75.0,38.6,1315,1315,,,,,,,0.72,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.84,,0.381,0.381,,1.19,,,
AEST,piston_ga,A320,5,0,Piston,B,96.0,49.4,2864,2722,,,,,,,0.92,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.25,A318,0.179,0.179,,0.697,,,
C421,piston_ga,A320,5,1,Piston,B,96.0,49.4,3379,3266,,,,,,,0.92,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.25,A318,0.179,0.179,,0.697,,,
EC20,rotorcraft,A320,5,0,,,,,,,,,,,,,,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,,,,,,,,,,,,,
M600,turboprop,A320,5,1,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
M700,turboprop,A320,5,0,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
SB20,airliner,A320,5,1,Turboprop,C,122.0,62.8,23000,22000,,,,,,,1.17,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,A318,Jet,C,False,1.25,E145,0.016,0.016,,0.217,,,
D328,airliner,A320,4,0,Turboprop,B,110.0,56.6,13990,14390,,,,,,,1.05,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.43,A318,0.093,0.093,,0.424,,,
EA50,business_jet,A320,4,2,Jet,B,91.0,46.8,2699,2456,,,,,,,0.87,surrogate C550,改用 C550,C550,1.19,,C550,Jet,B,True,1.19,,0.286,0.286,,0.804,,,thrust-to-weight not checked (no thrust from a primary document)
EC45,rotorcraft,A320,4,3,,,,,,,,,,,,,,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,,,,,,,,,,,,,
H25C,business_jet,A320,4,0,Jet,C,132.0,67.9,14107,11340,,,,,,,1.26,surrogate B737,改用 B737,B737,1.29,,B737,Jet,C,True,1.29,A19N,0.031,0.031,,0.06,,,thrust-to-weight not checked (no thrust from a primary document)
K100,turboprop,A320,4,0,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
MD88,airliner,A320,4,1,Jet,C,130.0,66.9,67812,58967,,,,,,,1.24,surrogate B737,改用 B737,B737,1.27,,B737,Jet,C,True,1.27,A19N,0.0,0.0,,0.09,MD82,1.2,thrust-to-weight not checked (no thrust from a primary document)
RV6,piston_ga,A320,4,0,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
T38,military,A320,4,3,Jet,D,160.0,82.3,5485,,,,,,,,1.53,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,B748,Jet,D,True,1.34,B744,0.013,0.013,,0.325,,,thrust-to-weight not checked (no thrust from a primary document)
B190,turboprop,A320,3,0,Turboprop,C,121.0,62.2,7766,7257,,,,,,,1.16,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,A318,Jet,C,False,1.24,E145,0.0,0.0,,0.234,,,FAA AAC column B contradicts its approach speed; category C from the speed
BE9T,turboprop,A320,3,0,Turboprop,B,108.0,55.6,4967,4967,,,,,,,1.03,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.41,A318,0.056,0.056,,0.461,,,
C185,piston_ga,A320,3,0,Piston,A,64.0,32.9,1520,1520,,,,,,,0.61,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.57,,0.063,0.063,,1.508,,,
E120,airliner,A320,3,0,Turboprop,B,113.0,58.1,11990,11700,,,,,,,1.08,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,A318,Jet,C,False,1.16,C550,0.137,0.137,,0.371,,,
H25A,business_jet,A320,3,1,Jet,C,125.0,64.3,11340,10000,,,,,,,1.2,surrogate E75L,改用 E75L,E75L,1.22,,E75L,Jet,C,True,1.22,A319,0.016,0.016,,0.169,,,thrust-to-weight not checked (no thrust from a primary document)
MD83,airliner,A320,3,0,Jet,D,144.0,74.1,72575,63276,112.3,PS,193.0,PS F00,,0.271,1.38,PS parameters (MD83),用 PS 本机参数（MD83）,MD83,1.28,1.28,B38M,Jet,D,True,1.32,B789,0.034,0.014,0.02,0.26,MD83,1.28,
AC11,piston_ga,A320,2,0,Piston,A,70.0,36.0,1474,1424,,,,,,,0.67,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.71,,0.243,0.243,,1.328,,,
B36T,turboprop,A320,2,1,Piston,A,73.0,37.6,1656,1656,,,,,,,0.7,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.79,,0.327,0.327,,1.244,,,
C27J,military,A320,2,0,,,,,,,,,,,,,,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,,,,,,,,,,,,,
C310,piston_ga,A320,2,1,Piston,A,87.0,44.8,2495,2495,,,,,,,0.83,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,2.13,,0.678,0.678,,0.893,,,
C404,piston_ga,A320,2,0,Piston,B,96.0,49.4,3810,3674,,,,,,,0.92,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.25,A318,0.179,0.179,,0.697,,,
E135,airliner,A320,2,0,Jet,C,124.0,63.8,20200,18700,51.18,PS,66.1,PS F00,,0.334,1.19,PS parameters (E135),用 PS 本机参数（E135）,E135,1.24,1.24,E145,Jet,C,True,1.22,E190,0.031,0.0,0.031,0.246,E135,1.24,
F5,military,A320,2,0,,,,,,,,,,,,,,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,,,,,,,,,,,,,
GLF3,business_jet,A320,2,0,Jet,C,140.0,72.0,31615,26535,,,,,,,1.34,surrogate B763,改用 B763,B763,1.27,,B763,Jet,C,True,1.27,A359,0.0,0.0,,0.058,,,thrust-to-weight not checked (no thrust from a primary document)
HA4T,business_jet,A320,2,3,Jet,C,128.0,65.8,17917,15195,,,,,,,1.23,surrogate B737,改用 B737,B737,1.25,,B737,Jet,C,True,1.25,A19N,0.031,0.031,,0.121,,,thrust-to-weight not checked (no thrust from a primary document)
LJ40,business_jet,A320,2,0,Jet,C,123.0,63.3,9525,8709,,,,,,,1.18,surrogate E145,改用 E145,E145,1.21,,E145,Jet,C,True,1.21,E170,0.016,0.016,,0.201,,,thrust-to-weight not checked (no thrust from a primary document)
P210,piston_ga,A320,2,1,Piston,A,75.0,38.6,1814,1724,,,,,,,0.72,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.84,,0.381,0.381,,1.19,,,
P32T,piston_ga,A320,2,0,Piston,A,80.0,41.2,1633,1633,,,,,,,0.77,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.96,,0.51,0.51,,1.061,,,
PA27,piston_ga,A320,2,0,Piston,B,91.0,46.8,2359,2241,,,,,,,0.87,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.19,A318,0.286,0.286,,0.804,,,
PA31,piston_ga,A320,2,0,Piston,B,95.0,48.9,2948,2948,,,,,,,0.91,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.24,A318,0.2,0.2,,0.718,,,
RV14,piston_ga,A320,2,0,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
RV7,piston_ga,A320,2,1,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
TEX2,military,A320,2,1,Turboprop,B,103.0,53.0,2948,3130,,,,,,,0.99,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,C550,Jet,B,False,1.34,A318,0.038,0.038,,0.556,,,
TWEN,piston_ga,A320,2,0,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
A339,airliner,A320,1,0,Jet,C,140.0,72.0,251018,190999,374.0,PS,655.6,PS F00,,0.266,1.34,PS parameters (A339),用 PS 本机参数（A339）,A339,1.23,1.23,A359,Jet,C,True,1.29,B772,0.036,0.0,0.036,0.222,A339,1.23,
A5,piston_ga,A320,1,0,Piston,A,59.0,30.4,685,685,,,,,,,0.56,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.44,,0.099,0.099,,1.67,,,
AC95,turboprop,A320,1,0,Turboprop,B,100.0,51.4,4683,4389,,,,,,,0.96,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.3,A318,0.098,0.098,,0.615,,,
AN2,piston_ga,A320,1,0,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
AS55,rotorcraft,A320,1,0,,,,,,,,,,,,,,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,,,,,,,,,,,,,
ASTR,business_jet,A320,1,0,Jet,B,120.0,61.7,10659,9389,,,,,,,1.15,surrogate C550,改用 C550,C550,1.56,,C550,Jet,B,True,1.56,,0.267,0.267,,0.25,,,surrogate is not closer than A320 in similarity distance; thrust-to-weight not checked (no thrust from a primary document)
AT73,airliner,A320,1,0,Turboprop,B,109.0,56.1,21500,21350,,,,,,,1.04,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.42,A318,0.075,0.075,,0.443,,,
B722,airliner,A320,1,0,Jet,C,133.0,68.4,83824,68039,157.9,PS,203.8,PS F00,,0.248,1.27,PS parameters (B722),用 PS 本机参数（B722）,B722,1.32,1.35,A388,Jet,C,True,1.24,A333,0.097,0.074,0.024,0.28,B722,1.32,
B735,airliner,OpenAP 同义 B734,1,0,Jet,C,128.0,65.8,61689,49895,103.7,PS,187.3,PS F00,,0.31,1.09,PS parameters (B735),用 PS 本机参数（B735）,B735,1.23,1.23,E75L,Jet,C,True,1.25,E190,0.045,0.031,0.013,0.135,B735,1.23,
B753,airliner,A320,1,0,Jet,D,143.0,73.6,122470,101605,189.0,PS,358.0,PS F00,,0.298,1.37,PS parameters (B753),用 PS 本机参数（B753）,B753,1.23,1.23,B738,Jet,D,True,1.31,A321,0.027,0.014,0.013,0.152,B753,1.23,
B764,airliner,A320,1,0,Jet,D,150.0,77.2,204117,158757,283.3,PS,512.8,PS F00,,0.256,1.44,PS parameters (B764),用 PS 本机参数（B764）,B764,1.26,1.26,B39M,Jet,D,True,1.33,B773,0.007,0.0,0.007,0.399,B764,1.26,
BE10,turboprop,A320,1,0,Turboprop,B,111.0,57.1,5352,5085,,,,,,,1.06,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.45,A318,0.111,0.111,,0.406,,,
BE23,piston_ga,A320,1,0,Piston,A,70.0,36.0,1111,1111,,,,,,,0.67,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.71,,0.243,0.243,,1.328,,,
BE55,piston_ga,A320,1,0,Piston,B,95.0,48.9,2313,2313,,,,,,,0.91,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.24,A318,0.2,0.2,,0.718,,,
BL17,piston_ga,A320,1,0,Piston,A,79.0,40.6,1508,1508,,,,,,,0.76,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.93,,0.485,0.485,,1.086,,,
BL8,piston_ga,A320,1,0,Piston,A,56.0,28.8,975,,,,,,,,0.54,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.37,,0.204,0.204,,1.775,,,
C152,piston_ga,A320,1,0,Piston,A,56.0,28.8,760,760,,,,,,,0.54,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.37,,0.204,0.204,,1.775,,,
C177,piston_ga,A320,1,3,Piston,A,52.0,26.8,1134,1134,,,,,,,0.5,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.27,,0.352,0.352,,1.923,,,
C240,piston_ga,A320,1,0,Piston,A,78.0,40.1,1633,1551,,,,,,,0.75,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.91,,0.459,0.459,,1.112,,,
C441,turboprop,A320,1,1,Turboprop,B,98.0,50.4,4468,4246,,,,,,,0.94,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.28,A318,0.138,0.138,,0.655,,,
C501,business_jet,A320,1,0,Jet,B,107.0,55.0,5375,5148,,,,,,,1.02,surrogate C550,改用 C550,C550,1.4,,C550,Jet,B,True,1.4,,0.038,0.038,,0.48,,,thrust-to-weight not checked (no thrust from a primary document)
C72R,piston_ga,A320,1,0,Piston,A,62.0,31.9,1111,1111,,,,,,,0.59,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.52,,0.0,0.0,,1.571,,,
COL3,piston_ga,A320,1,0,Piston,A,78.0,40.1,1542,1465,,,,,,,0.75,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.91,,0.459,0.459,,1.112,,,
CRUZ,piston_ga,A320,1,0,Piston,A,39.0,20.1,599,599,,,,,,,0.37,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,0.95,,0.927,0.927,,2.498,,,
DHC6,turboprop,A320,1,0,Turboprop,A,74.0,38.1,5670,5579,,,,,,,0.71,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,False,1.81,C550,0.354,0.354,,1.217,,,
E110,turboprop,A320,1,0,Turboprop,B,92.0,47.3,5901,5700,,,,,,,0.88,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.2,A318,0.264,0.264,,0.782,,,
H47,rotorcraft,A320,1,0,,,,,,,,,,,,,,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,,,,,,,,,,,,,
H60,rotorcraft,A320,1,0,,,,,,,,,,,,,,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,,,,,,,,,,,,,
HUSK,piston_ga,A320,1,0,Piston,A,60.0,30.9,907,907,,,,,,,0.57,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.47,,0.066,0.066,,1.637,,,
LJ55,business_jet,A320,1,0,Jet,C,125.0,64.3,8845,7711,,,,,,,1.2,surrogate E75L,改用 E75L,E75L,1.22,,E75L,Jet,C,True,1.22,A319,0.016,0.016,,0.169,,,thrust-to-weight not checked (no thrust from a primary document)
M20T,piston_ga,A320,1,0,Piston,A,77.0,39.6,1528,1451,,,,,,,0.74,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.88,,0.433,0.433,,1.138,,,
MD82,airliner,A320,1,0,Jet,C,135.0,69.4,67812,58967,112.3,PS,185.5,PS F00,,0.279,1.29,PS parameters (MD82),用 PS 本机参数（MD82）,MD82,1.24,1.24,A332,Jet,C,True,1.2,A333,0.033,0.015,0.018,0.132,MD82,1.24,
P06T,piston_ga,A320,1,0,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
PAY2,turboprop,A320,1,1,Piston,B,100.0,51.4,4297,4082,,,,,,,0.96,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C550,Jet,B,False,1.3,A318,0.098,0.098,,0.615,,,
PAY3,turboprop,A320,1,0,Turboprop,B,113.0,58.1,5080,4686,,,,,,,1.08,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,A318,Jet,C,False,1.16,C550,0.137,0.137,,0.371,,,
PTS1,piston_ga,A320,1,0,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
S76,rotorcraft,A320,1,0,,,,,,,,,,,,,,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,,,,,,,,,,,,,
SBR1,business_jet,A320,1,0,Jet,C,126.0,64.8,9150,7938,,,,,,,1.21,surrogate E75L,改用 E75L,E75L,1.23,,E75L,Jet,C,True,1.23,A319,0.0,0.0,,0.153,,,thrust-to-weight not checked (no thrust from a primary document)
VO10,piston_ga,A320,1,0,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
WW24,business_jet,A320,1,0,Jet,C,129.0,66.4,10659,8618,,,,,,,1.24,surrogate B737,改用 B737,B737,1.26,,B737,Jet,C,True,1.26,A19N,0.015,0.015,,0.106,,,thrust-to-weight not checked (no thrust from a primary document)
A119,rotorcraft,A320,0,1,,,,,,,,,,,,,,exclude: not a fixed-wing civil approach,排除：旋翼机 / 军机,,,,,,,,,,,,,,,,
C180,piston_ga,A320,0,1,Piston,A,64.0,32.9,1270,1270,,,,,,,0.61,exclude: propeller aircraft (user decision 2026-09-23),排除：螺旋桨飞机（用户决定）,,,,C172,Piston,A,True,1.57,,0.063,0.063,,1.508,,,
CRJ1,airliner,A320,0,1,Jet,D,141.0,72.5,21523,21319,,,,,,,1.35,surrogate CRJ9,改用 CRJ9,CRJ9,1.38,,CRJ9,Jet,D,True,1.38,A321,0.0,0.0,,0.072,,,thrust-to-weight not checked (no thrust from a primary document)
EXNG,piston_ga,A320,0,1,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
PC7,turboprop,A320,0,1,,,,,,,,,,,,,,no FAA approach speed: exclude or new data,排除：FAA 表没有进近速度,,,,,,,,,,,,,,,,
