flight_id,split,rows,pairs_2s,pairs_10s,pairs_30s,pairs_60s,pairs_120s
KRDU:AAL557_23R_aa1219_20260519T192512Z,train,145,144,140,130,115,85
KRDU:AAL557_23R_aa15cc_20260505T193340Z,train,151,150,146,136,121,91
KRDU:AAL557_23R_aa15cc_20260518T230428Z,train,139,138,134,124,109,79
KRDU:AAL557_23R_ab10df_20260506T185151Z,train,167,166,162,152,137,107
KRDU:AAL557_23R_ab4383_20260509T184456Z,train,153,152,148,138,123,93
KRDU:AAL557_23R_ab4383_20260517T185652Z,train,153,152,148,138,123,93
KRDU:AAL557_23R_ab525f_20260503T192538Z,val,146,145,141,131,116,86
KRDU:AAL557_23R_ab525f_20260520T185553Z,train,144,143,139,129,114,84
KRDU:AAL557_23R_ab5c26_20260516T195619Z,val,341,340,336,326,311,281
KRDU:AAL557_23R_ac75ee_20260514T185107Z,val,131,130,126,116,101,71
KRDU:AAL600P_23L_aa02ab_20260515T114106Z,train,153,152,148,138,123,93
KRDU:AAL600P_23R_aafbf3_20260519T063319Z,train,157,156,152,142,127,97
KRDU:AAL600P_23R_ab4af1_20260520T152425Z,train,143,142,138,128,113,83
KRDU:AAL600_05L_a9618a_20260508T051301Z,train,158,157,153,143,128,98
KRDU:AAL600_05L_a9d44c_20260512T033554Z,train,144,143,139,129,114,84
KRDU:AAL600_05L_aa435b_20260503T042428Z,train,294,293,289,279,264,234
KRDU:AAL600_05R_aa234a_20260501T044559Z,train,207,206,202,192,177,147
KRDU:AAL600_23R_a13541_20260521T034250Z,val,147,146,142,132,117,87
KRDU:AAL600_23R_a9618a_20260502T042718Z,val,158,157,153,143,128,98
KRDU:AAL600_23R_a9ccde_20260510T033726Z,train,146,145,141,131,116,86
KRDU:AAL600_23R_a9d807_20260513T035051Z,train,180,179,175,165,150,120
KRDU:AAL600_23R_a9f461_20260504T035038Z,train,155,154,150,140,125,95
KRDU:AAL600_23R_aa234a_20260506T035554Z,val,159,158,154,144,129,99
KRDU:AAL600_23R_aa79f6_20260509T034448Z,train,162,161,157,147,132,102
KRDU:AAL600_23R_ab1fbb_20260519T045923Z,train,169,168,164,154,139,109
KRDU:AAL600_23R_ab30f0_20260516T034130Z,train,156,155,151,141,126,96
KRDU:AAL600_23R_ab4af1_20260517T040720Z,train,155,154,150,140,125,95
KRDU:AAL600_23R_ab525f_20260507T034946Z,train,151,150,146,136,121,91
KRDU:AAL600_23R_ab79de_20260511T033128Z,train,152,151,147,137,122,92
KRDU:AAL600_23R_ab79de_20260514T055106Z,train,142,141,137,127,112,82
KRDU:AAL638_05L_a3373a_20260503T032640Z,train,299,298,294,284,269,239
KRDU:AAL638_05L_a33eb5_20260512T011325Z,train,196,195,191,181,166,136
KRDU:AAL638_05L_a3428e_20260515T011222Z,train,134,133,129,119,104,74
KRDU:AAL638_05L_a3484e_20260508T010812Z,train,144,143,139,129,114,84
KRDU:AAL638_05L_a373ea_20260501T011745Z,val,199,198,194,184,169,139
KRDU:AAL638_23R_a32861_20260521T011403Z,train,205,204,200,190,175,145
KRDU:AAL638_23R_a32fa7_20260506T012557Z,val,150,149,145,135,120,90
KRDU:AAL638_23R_a32ff6_20260510T012831Z,train,145,144,140,130,115,85
KRDU:AAL638_23R_a3428e_20260520T011755Z,val,181,180,176,166,151,121
KRDU:AAL638_23R_a3489f_20260516T011024Z,train,327,326,322,312,297,267
KRDU:AAL638_23R_a35781_20260514T014909Z,train,293,292,288,278,263,233
KRDU:AAL638_23R_a362a9_20260513T012802Z,train,142,141,137,127,112,82
KRDU:AAL638_23R_a37389_20260507T011922Z,train,352,351,347,337,322,292
KRDU:AAL638_23R_a37eb0_20260517T012619Z,train,197,196,192,182,167,137
KRDU:AAL638_23R_a382ca_20260518T020519Z,val,140,139,135,125,110,80
KRDU:AAL638_23R_a3fcd6_20260505T013809Z,val,154,153,149,139,124,94
KRDU:AAL638_23R_ac51b2_20260511T011819Z,train,146,145,141,131,116,86
KRDU:AAL638_23R_acbe37_20260519T011910Z,train,138,137,133,123,108,78
KRDU:AAL638_23R_acd838_20260504T014805Z,train,147,146,142,132,117,87
KRDU:AAL638_23R_ad84de_20260502T010719Z,val,304,303,299,289,274,244
KRDU:AAL706_05L_a33327_20260523T013316Z,train,148,147,143,133,118,88
KRDU:AAL706_05L_ab20df_20260508T013435Z,train,326,325,321,311,296,266
KRDU:AAL706_05L_ab284d_20260503T015544Z,val,349,348,344,334,319,289
KRDU:AAL706_05L_ab40f0_20260629T020017Z,train,360,359,355,345,330,300
KRDU:AAL706_05L_ab93a5_20260524T012357Z,val,138,137,133,123,108,78
KRDU:AAL706_05L_abac48_20260714T015821Z,train,288,287,283,273,258,228
KRDU:AAL706_05L_ac18fe_20260529T012028Z,train,351,350,346,336,321,291
KRDU:AAL706_05L_ad00e3_20260512T033156Z,train,137,136,132,122,107,77
KRDU:AAL706_05L_ad2862_20260522T013121Z,train,328,327,323,313,298,268
KRDU:AAL706_05L_ad385f_20260707T034904Z,train,122,121,117,107,92,62
KRDU:AAL706_05L_ad6ff2_20260630T022510Z,train,289,288,284,274,259,229
KRDU:AAL706_05L_ad99fc_20260501T012151Z,val,332,331,327,317,302,272
KRDU:AAL706_05L_adaee8_20260713T014307Z,train,316,315,311,301,286,256
KRDU:AAL706_05L_add793_20260515T024709Z,val,136,135,131,121,106,76
KRDU:AAL706_05R_ac2dea_20260531T012207Z,train,310,309,305,295,280,250
KRDU:AAL706_05R_ad1986_20260709T013141Z,train,133,132,128,118,103,73
KRDU:AAL706_23L_ad4c2a_20260721T031214Z,train,144,143,139,129,114,84
KRDU:AAL706_23L_ada296_20260704T021604Z,train,132,131,127,117,102,72
KRDU:AAL706_23R_a40027_20260527T014548Z,val,118,117,113,103,88,58
KRDU:AAL706_23R_aaf1f2_20260528T013509Z,train,149,148,144,134,119,89
KRDU:AAL706_23R_ab686f_20260530T011547Z,train,139,138,134,124,109,79
KRDU:AAL706_23R_ab7b02_20260520T022459Z,train,130,129,125,115,100,70
KRDU:AAL706_23R_ab8112_20260706T023512Z,train,123,122,118,108,93,63
KRDU:AAL706_23R_ab9eca_20260509T012238Z,train,148,147,143,133,118,88
KRDU:AAL706_23R_abdeec_20260628T013812Z,train,131,130,126,116,101,71
KRDU:AAL706_23R_abe65a_20260507T012526Z,train,145,144,140,130,115,85
KRDU:AAL706_23R_ac5569_20260711T023042Z,val,144,143,139,129,114,84
KRDU:AAL706_23R_ac7e15_20260627T011928Z,train,120,119,115,105,90,60
KRDU:AAL706_23R_ac7f41_20260502T011657Z,train,138,137,133,123,108,78
KRDU:AAL706_23R_acaa77_20260504T011733Z,train,131,130,126,116,101,71
KRDU:AAL706_23R_acb827_20260513T011658Z,train,145,144,140,130,115,85
KRDU:AAL706_23R_acdd1b_20260717T021802Z,train,119,118,114,104,89,59
KRDU:AAL706_23R_acee50_20260708T043845Z,train,137,136,132,122,107,77
KRDU:AAL706_23R_acf492_20260510T013555Z,train,118,117,113,103,88,58
KRDU:AAL706_23R_ad0725_20260712T015807Z,train,135,134,130,120,105,75
KRDU:AAL706_23R_ad0e61_20260702T025517Z,train,130,129,125,115,100,70
KRDU:AAL706_23R_ad1d3d_20260516T014419Z,train,127,126,122,112,97,67
KRDU:AAL706_23R_ad1d3d_20260518T020024Z,train,126,125,121,111,96,66
KRDU:AAL706_23R_ad4390_20260526T012501Z,train,139,138,134,124,109,79
KRDU:AAL706_23R_ad73a9_20260716T012947Z,train,132,131,127,117,102,72
KRDU:AAL706_23R_ad8769_20260705T055339Z,train,137,136,132,122,107,77
KRDU:AAL706_23R_ad9b28_20260519T014633Z,train,142,141,137,127,112,82
KRDU:AAL706_23R_ad9b28_20260710T025617Z,train,131,130,126,116,101,71
KRDU:AAL706_23R_adac5d_20260517T014455Z,val,154,153,149,139,124,94
KRDU:AAL706_23R_adbef0_20260514T013019Z,train,120,119,115,105,90,60
KRDU:AAL706_23R_adcdcc_20260720T020737Z,val,131,130,126,116,101,71
KRDU:AAL725_23R_aa7439_20260710T205220Z,train,220,219,215,205,190,160
KRDU:AAL749_23R_aa9f6f_20260710T203334Z,val,141,140,136,126,111,81
KRDU:AAL810_23R_a082ac_20260627T220501Z,train,317,316,312,302,287,257
KRDU:AAL812_05L_a05cf3_20260523T032910Z,train,350,349,345,335,320,290
KRDU:AAL812_05L_a9618a_20260529T035147Z,val,163,162,158,148,133,103
KRDU:AAL812_05L_aa2e6f_20260630T031430Z,val,302,301,297,287,272,242
KRDU:AAL812_05L_ac7216_20260629T032832Z,train,344,343,339,329,314,284
KRDU:AAL812_23L_ab0361_20260528T033102Z,train,164,163,159,149,134,104
KRDU:AAL812_23R_a95665_20260628T034043Z,train,140,139,135,125,110,80
KRDU:AAL812_23R_ab5c26_20260627T025215Z,train,149,148,144,134,119,89
KRDU:AAL83R_05L_ab586f_20260714T113907Z,train,176,175,171,161,146,116
KRDU:AAL846_23R_add667_20260710T200024Z,train,138,137,133,123,108,78
KRDU:AAL859_23R_a158c9_20260710T205647Z,train,135,134,130,120,105,75
KRDU:AAL959_05L_a8fd3c_20260529T134535Z,train,317,316,312,302,287,257
KRDU:AAL959_05L_a95665_20260630T133835Z,val,310,309,305,295,280,250
KRDU:AAL959_05L_a977d4_20260522T133242Z,train,355,354,350,340,325,295
KRDU:AAL959_05L_a9f461_20260531T133640Z,train,297,296,292,282,267,237
KRDU:AAL959_05L_aa4ac9_20260629T132133Z,train,323,322,318,308,293,263
KRDU:AAL959_23R_a9a91a_20260521T132753Z,val,137,136,132,122,107,77
KRDU:AAL959_23R_aa2701_20260525T133354Z,train,161,160,156,146,131,101
KRDU:AAL959_23R_aa4e80_20260628T132558Z,train,132,131,127,117,102,72
KRDU:AAL959_23R_aa64ca_20260626T132532Z,train,136,135,131,121,106,76
KRDU:AAL959_23R_aa7dad_20260528T133426Z,train,128,127,123,113,98,68
KRDU:AAL959_23R_aaf83c_20260701T132642Z,train,135,134,130,120,105,75
KRDU:AAL959_23R_ab5fdd_20260526T133129Z,val,153,152,148,138,123,93
KRDU:AAL9605_23R_ab4ea8_20260703T150806Z,train,310,309,305,295,280,250
KRDU:AAL970_23R_a6cc45_20260626T144415Z,train,128,127,123,113,98,68
KRDU:AAL9785_23R_aa2ca9_20260529T223831Z,train,133,132,128,118,103,73
KRDU:AAL979_05L_a40027_20260713T054215Z,train,304,303,299,289,274,244
KRDU:AAL979_05L_abd3c7_20260508T004232Z,train,322,321,317,307,292,262
KRDU:AAL979_05L_ac267c_20260525T020916Z,train,264,263,259,249,234,204
KRDU:AAL979_05L_ac8583_20260515T004124Z,train,137,136,132,122,107,77
KRDU:AAL979_05L_aca94b_20260501T020156Z,train,259,258,254,244,229,199
KRDU:AAL979_05L_acb1e5_20260522T015704Z,train,151,150,146,136,121,91
KRDU:AAL979_05L_acca88_20260529T012538Z,train,136,135,131,121,106,76
KRDU:AAL979_05L_ad036e_20260512T033817Z,train,154,153,149,139,124,94
KRDU:AAL979_05L_ad0e61_20260718T014424Z,train,142,141,137,127,112,82
KRDU:AAL979_05L_ad2862_20260707T021550Z,train,118,117,113,103,88,58
KRDU:AAL979_05L_ad3fd9_20260524T015509Z,train,145,144,140,130,115,85
KRDU:AAL979_05L_ad6116_20260531T012118Z,train,288,287,283,273,258,228
KRDU:AAL979_05L_ad7ece_20260714T031402Z,train,263,262,258,248,233,203
KRDU:AAL979_05L_adaee8_20260523T012644Z,train,316,315,311,301,286,256
KRDU:AAL979_05L_ade66f_20260629T011806Z,val,271,270,266,256,241,211
KRDU:AAL979_23R_a3244f_20260514T013300Z,train,138,137,133,123,108,78
KRDU:AAL979_23R_a3b11e_20260706T011836Z,train,137,136,132,122,107,77
KRDU:AAL979_23R_aaee3b_20260521T034758Z,train,150,149,145,135,120,90
KRDU:AAL979_23R_aaf1f2_20260628T010738Z,train,288,287,283,273,258,228
KRDU:AAL979_23R_ab485e_20260627T013018Z,train,144,143,139,129,114,84
KRDU:AAL979_23R_ab686f_20260504T015015Z,train,146,145,141,131,116,86
KRDU:AAL979_23R_abac48_20260513T011956Z,train,147,146,142,132,117,87
KRDU:AAL979_23R_abafff_20260509T003428Z,val,141,140,136,126,111,81
KRDU:AAL979_23R_abedc8_20260505T004750Z,train,351,350,346,336,321,291
KRDU:AAL979_23R_ac0dd9_20260517T004419Z,train,315,314,310,300,285,255
KRDU:AAL979_23R_ac407d_20260703T014830Z,train,130,129,125,115,100,70
KRDU:AAL979_23R_ac8a66_20260507T005515Z,train,155,154,150,140,125,95
KRDU:AAL979_23R_ac9e26_20260516T013901Z,train,131,130,126,116,101,71
KRDU:AAL979_23R_acb953_20260720T024554Z,train,127,126,122,112,97,67
KRDU:AAL979_23R_acdfa6_20260530T011838Z,val,147,146,142,132,117,87
KRDU:AAL979_23R_aced24_20260719T021629Z,train,131,130,126,116,101,71
KRDU:AAL979_23R_acf207_20260518T011748Z,train,149,148,144,134,119,89
KRDU:AAL979_23R_ad036e_20260705T010141Z,train,290,289,285,275,260,230
KRDU:AAL979_23R_ad6116_20260510T013041Z,train,149,148,144,134,119,89
KRDU:AAL979_23R_ad63a1_20260711T013948Z,train,131,130,126,116,101,71
KRDU:AAL979_23R_ad64cd_20260704T010304Z,val,123,122,118,108,93,63
KRDU:AAL979_23R_adaee8_20260710T010725Z,train,136,135,131,121,106,76
KRDU:AAL979_23R_add2b0_20260502T003626Z,train,165,164,160,150,135,105
KRDU:AAL979_23R_addb4a_20260506T014638Z,train,147,146,142,132,117,87
KRDU:AAL979_23R_addb4a_20260721T042735Z,train,163,162,158,148,133,103
KRDU:AAY4400_23L_a2fa71_20260513T131218Z,train,345,344,340,330,315,285
KRDU:AAY4404_23R_a1836c_20260517T052843Z,train,156,155,151,141,126,96
KRDU:AAY4751_23R_a1836c_20260719T054734Z,train,157,156,152,142,127,97
KRDU:AAY4753_23L_a2ecf3_20260516T155929Z,val,170,169,165,155,140,110
KRDU:ACA1068_23R_c01401_20260518T210542Z,train,137,136,132,122,107,77
KRDU:ACA7030_05L_c0219c_20260528T164809Z,train,303,302,298,288,273,243
KRDU:ACA7042_05L_c0248c_20260528T185114Z,val,272,271,267,257,242,212
KRDU:ACA7042_23R_c0248c_20260520T193400Z,val,132,131,127,117,102,72
KRDU:AFR074_05L_39c421_20260501T194238Z,train,359,358,354,344,329,299
KRDU:AFR074_05L_39c423_20260507T195202Z,train,336,335,331,321,306,276
KRDU:AFR074_05L_39c423_20260530T195126Z,train,320,319,315,305,290,260
KRDU:AFR074_05L_39c426_20260528T193425Z,train,137,136,132,122,107,77
KRDU:AFR074_05L_39c427_20260529T192331Z,train,118,117,113,103,88,58
KRDU:AFR074_05L_39c428_20260515T192928Z,train,299,298,294,284,269,239
KRDU:AFR074_05L_39c428_20260524T194128Z,train,320,319,315,305,290,260
KRDU:AFR074_05L_39c429_20260522T193154Z,train,339,338,334,324,309,279
KRDU:AFR074_05L_39c429_20260523T195010Z,train,138,137,133,123,108,78
KRDU:AFR074_05L_39cf03_20260712T194952Z,val,322,321,317,307,292,262
KRDU:AFR074_05L_39cf06_20260717T192621Z,train,136,135,131,121,106,76
KRDU:AFR074_05L_39cf08_20260629T192911Z,train,132,131,127,117,102,72
KRDU:AFR074_05L_39cf10_20260630T195540Z,train,322,321,317,307,292,262
KRDU:AFR074_05L_39cf10_20260713T193754Z,train,142,141,137,127,112,82
KRDU:AFR074_05L_39cf13_20260714T202117Z,train,336,335,331,321,306,276
KRDU:AFR074_23R_39c420_20260508T194505Z,train,138,137,133,123,108,78
KRDU:AFR074_23R_39c420_20260518T192231Z,train,133,132,128,118,103,73
KRDU:AFR074_23R_39c421_20260513T193422Z,train,126,125,121,111,96,66
KRDU:AFR074_23R_39c421_20260514T195642Z,train,131,130,126,116,101,71
KRDU:AFR074_23R_39c421_20260525T192806Z,val,130,129,125,115,100,70
KRDU:AFR074_23R_39c422_20260527T192521Z,train,139,138,134,124,109,79
KRDU:AFR074_23R_39c423_20260509T193330Z,train,145,144,140,130,115,85
KRDU:AFR074_23R_39c423_20260510T193334Z,train,118,117,113,103,88,58
KRDU:AFR074_23R_39c426_20260504T193757Z,val,129,128,124,114,99,69
KRDU:AFR074_23R_39c426_20260519T192708Z,val,141,140,136,126,111,81
KRDU:AFR074_23R_39c426_20260526T193342Z,train,140,139,135,125,110,80
KRDU:AFR074_23R_39c427_20260503T194728Z,train,128,127,123,113,98,68
KRDU:AFR074_23R_39c427_20260506T194114Z,train,151,150,146,136,121,91
KRDU:AFR074_23R_39c427_20260521T193707Z,train,115,114,110,100,85,55
KRDU:AFR074_23R_39c427_20260531T192737Z,train,131,130,126,116,101,71
KRDU:AFR074_23R_39c429_20260512T192349Z,train,125,124,120,110,95,65
KRDU:AFR074_23R_39c429_20260516T193622Z,train,123,122,118,108,93,63
KRDU:AFR074_23R_39c429_20260517T194845Z,train,140,139,135,125,110,80
KRDU:AFR074_23R_39c429_20260520T193702Z,val,124,123,119,109,94,64
KRDU:AFR074_23R_39cf00_20260628T193641Z,train,136,135,131,121,106,76
KRDU:AFR074_23R_39cf01_20260626T195159Z,train,131,130,126,116,101,71
KRDU:AFR074_23R_39cf02_20260708T202003Z,val,131,130,126,116,101,71
KRDU:AFR074_23R_39cf03_20260703T201231Z,train,129,128,124,114,99,69
KRDU:AFR074_23R_39cf03_20260705T192950Z,train,138,137,133,123,108,78
KRDU:AFR074_23R_39cf03_20260710T200414Z,train,141,140,136,126,111,81
KRDU:AFR074_23R_39cf03_20260715T193839Z,train,177,176,172,162,147,117
KRDU:AFR074_23R_39cf04_20260706T205038Z,train,143,142,138,128,113,83
KRDU:AFR074_23R_39cf04_20260720T201431Z,train,147,146,142,132,117,87
KRDU:AFR074_23R_39cf05_20260718T191901Z,train,135,134,130,120,105,75
KRDU:AFR074_23R_39cf08_20260627T203109Z,train,133,132,128,118,103,73
KRDU:AFR074_23R_39cf08_20260701T201849Z,train,133,132,128,118,103,73
KRDU:AFR074_23R_39cf09_20260704T194329Z,train,131,130,126,116,101,71
KRDU:AFR074_23R_39cf12_20260702T193928Z,train,118,117,113,103,88,58
KRDU:AFR074_23R_39cf12_20260719T200240Z,train,134,133,129,119,104,74
KRDU:AFR074_23R_39cf13_20260707T194101Z,train,126,125,121,111,96,66
KRDU:AMX402_23R_0d0dda_20260721T195025Z,train,306,305,301,291,276,246
KRDU:ASA10_23R_a69f49_20260718T205224Z,train,158,157,153,143,128,98
KRDU:ASA12_05L_a4f5a0_20260523T203412Z,train,150,149,145,135,120,90
KRDU:ASA12_05L_a5e29a_20260507T214052Z,train,139,138,134,124,109,79
KRDU:ASA12_05L_a6b7ec_20260522T201914Z,train,135,134,130,120,105,75
KRDU:ASA12_05L_a9aebc_20260524T201339Z,val,129,128,124,114,99,69
KRDU:ASA12_05R_a79768_20260515T201235Z,train,122,121,117,107,92,62
KRDU:ASA12_05R_ac7a5b_20260530T201125Z,train,285,284,280,270,255,225
KRDU:ASA12_23L_a29908_20260506T211833Z,train,158,157,153,143,128,98
KRDU:ASA12_23L_a4df56_20260504T214658Z,val,150,149,145,135,120,90
KRDU:ASA12_23L_a506d5_20260527T203646Z,val,137,136,132,122,107,77
KRDU:ASA12_23L_a5bb1b_20260503T230321Z,train,133,132,128,118,103,73
KRDU:ASA12_23L_a9aebc_20260510T214956Z,train,149,148,144,134,119,89
KRDU:ASA12_23L_ac7a5b_20260516T200701Z,train,129,128,124,114,99,69
KRDU:ASA12_23R_a2ce05_20260520T204556Z,train,131,130,126,116,101,71
KRDU:ASA12_23R_a2ebbd_20260529T202423Z,train,128,127,123,113,98,68
KRDU:ASA12_23R_a5939c_20260526T202933Z,train,136,135,131,121,106,76
KRDU:ASA12_23R_a61b4e_20260518T203856Z,train,304,303,299,289,274,244
KRDU:ASA12_23R_a706ea_20260509T214212Z,train,139,138,134,124,109,79
KRDU:ASA12_23R_a9672c_20260508T220102Z,train,133,132,128,118,103,73
KRDU:ASA12_23R_a9d63b_20260521T200425Z,train,125,124,120,110,95,65
KRDU:ASA12_23R_acb46d_20260505T211824Z,val,133,132,128,118,103,73
KRDU:ASA12_23R_accd10_20260519T200206Z,train,131,130,126,116,101,71
KRDU:ASA12_23R_ad14a0_20260531T195859Z,val,132,131,127,117,102,72
KRDU:ASA12_23R_ad6755_20260512T215117Z,train,135,134,130,120,105,75
KRDU:ASA1529_05L_a5bb1b_20260511T194855Z,val,201,200,196,186,171,141
KRDU:ASA1529_05R_a66ca5_20260507T200215Z,train,343,342,338,328,313,283
KRDU:ASA1529_23L_acbe34_20260509T195349Z,train,147,146,142,132,117,87
KRDU:ASA1529_23L_acc1eb_20260508T194826Z,val,148,147,143,133,118,88
KRDU:ASA1529_23R_a30bce_20260512T200501Z,val,135,134,130,120,105,75
KRDU:ASA1529_23R_a59d63_20260506T195506Z,train,149,148,144,134,119,89
KRDU:ASA1529_23R_a70333_20260504T201449Z,train,138,137,133,123,108,78
KRDU:ASA1529_23R_a9873d_20260505T195634Z,val,138,137,133,123,108,78
KRDU:ASA1529_23R_acb824_20260503T201412Z,train,135,134,130,120,105,75
KRDU:ASA1529_23R_acdbec_20260501T202352Z,val,136,135,131,121,106,76
KRDU:ASA24_23L_ab349c_20260718T193533Z,train,136,135,131,121,106,76
KRDU:ASA26_23R_acdfa3_20260721T200635Z,train,139,138,134,124,109,79
KRDU:ASA335_05L_ad5fe7_20260529T102821Z,train,268,267,263,253,238,208
KRDU:ASA335_05R_a58c2e_20260515T104814Z,train,297,296,292,282,267,237
KRDU:ASA335_05R_a9b273_20260524T095845Z,train,159,158,154,144,129,99
KRDU:ASA335_05R_ad99f9_20260531T101307Z,train,250,249,245,235,220,190
KRDU:ASA335_05R_add2ad_20260523T100609Z,train,336,335,331,321,306,276
KRDU:ASA335_23L_a657b9_20260517T100332Z,val,162,161,157,147,132,102
KRDU:ASA335_23L_a6bba3_20260514T100211Z,train,125,124,120,110,95,65
KRDU:ASA335_23R_a2b1ab_20260525T095530Z,train,143,142,138,128,113,83
KRDU:ASA335_23R_a70333_20260516T100249Z,train,148,147,143,133,118,88
KRDU:ASA335_23R_a744b3_20260519T105628Z,val,135,134,130,120,105,75
KRDU:ASA335_23R_a7687b_20260521T113441Z,train,138,137,133,123,108,78
KRDU:ASA335_23R_a9c506_20260518T105218Z,train,155,154,150,140,125,95
KRDU:ASA335_23R_ac7a5b_20260520T102443Z,val,151,150,146,136,121,91
KRDU:ASA335_23R_aced21_20260526T100651Z,train,153,152,148,138,123,93
KRDU:ASA335_23R_ad2aea_20260530T104832Z,val,142,141,137,127,112,82
KRDU:ASA434_05L_a67f38_20260705T215426Z,train,187,186,182,172,157,127
KRDU:ASA434_05L_a97c18_20260720T214543Z,train,237,236,232,222,207,177
KRDU:ASA434_05L_acd47e_20260714T221439Z,val,283,282,278,268,253,223
KRDU:ASA434_05L_ad5fe7_20260630T212901Z,val,296,295,291,281,266,236
KRDU:ASA434_05R_acf48f_20260714T001128Z,train,278,277,273,263,248,218
KRDU:ASA434_05R_ad99f9_20260712T211902Z,val,129,128,124,114,99,69
KRDU:ASA434_23L_a5320b_20260626T212245Z,train,144,143,139,129,114,84
KRDU:ASA434_23L_a61f05_20260709T212415Z,train,136,135,131,121,106,76
KRDU:ASA434_23L_accd10_20260627T212919Z,train,324,323,319,309,294,264
KRDU:ASA434_23L_accd10_20260628T210210Z,train,291,290,286,276,261,231
KRDU:ASA434_23L_ad10e9_20260708T212422Z,val,271,270,266,256,241,211
KRDU:ASA434_23L_ad1857_20260706T214818Z,train,118,117,113,103,88,58
KRDU:ASA434_23L_ad639e_20260719T214045Z,train,293,292,288,278,263,233
KRDU:ASA434_23R_a29cbf_20260704T211842Z,train,131,130,126,116,101,71
KRDU:ASA434_23R_a2adf4_20260703T214204Z,train,133,132,128,118,103,73
KRDU:ASA434_23R_a2fcf2_20260707T230928Z,train,130,129,125,115,100,70
KRDU:ASA434_23R_a9d284_20260702T214800Z,train,118,117,113,103,88,58
KRDU:ASA434_23R_acd47e_20260718T220805Z,train,295,294,290,280,265,235
KRDU:ASA434_23R_ad14a0_20260710T220928Z,train,142,141,137,127,112,82
KRDU:ASA434_23R_ad4afb_20260716T221156Z,train,126,125,121,111,96,66
KRDU:ASA434_23R_ad5fe7_20260701T213011Z,train,131,130,126,116,101,71
KRDU:ASA434_23R_ad727a_20260711T215412Z,val,138,137,133,123,108,78
KRDU:ASA4_23R_ab761c_20260718T203846Z,val,139,138,134,124,109,79
KRDU:ASA572_05L_a24a0a_20260717T202601Z,train,276,275,271,261,246,216
KRDU:ASA572_05L_a2d92a_20260713T201903Z,train,289,288,284,274,259,229
KRDU:ASA572_05L_a4b420_20260714T205840Z,val,259,258,254,244,229,199
KRDU:ASA572_05L_a5e29a_20260530T221041Z,train,307,306,302,292,277,247
KRDU:ASA572_05L_a5e29a_20260712T202747Z,train,147,146,142,132,117,87
KRDU:ASA572_05L_acd47e_20260630T202719Z,train,283,282,278,268,253,223
KRDU:ASA572_05R_acb46d_20260705T225915Z,train,291,290,286,276,261,231
KRDU:ASA572_05R_ad5c30_20260522T215040Z,train,310,309,305,295,280,250
KRDU:ASA572_23L_a56866_20260718T203044Z,train,147,146,142,132,117,87
KRDU:ASA572_23L_a602ab_20260626T201732Z,train,142,141,137,127,112,82
KRDU:ASA572_23L_a9b62a_20260721T004644Z,train,126,125,121,111,96,66
KRDU:ASA572_23L_aba152_20260701T204024Z,train,137,136,132,122,107,77
KRDU:ASA572_23R_a28a2c_20260527T222126Z,train,128,127,123,113,98,68
KRDU:ASA572_23R_a2b562_20260628T200447Z,train,135,134,130,120,105,75
KRDU:ASA572_23R_a2d1bc_20260517T215622Z,train,138,137,133,123,108,78
KRDU:ASA572_23R_a2e806_20260521T213409Z,train,128,127,123,113,98,68
KRDU:ASA572_23R_a2ebbd_20260721T203813Z,val,142,141,137,127,112,82
KRDU:ASA572_23R_a4b7d7_20260715T204814Z,train,133,132,128,118,103,73
KRDU:ASA572_23R_a506d5_20260702T202925Z,train,136,135,131,121,106,76
KRDU:ASA572_23R_a57d52_20260514T213454Z,train,128,127,123,113,98,68
KRDU:ASA572_23R_a5a888_20260708T203017Z,train,116,115,111,101,86,56
KRDU:ASA572_23R_a5b3ad_20260711T201244Z,train,124,123,119,109,94,64
KRDU:ASA572_23R_a5b764_20260515T214226Z,train,129,128,124,114,99,69
KRDU:ASA572_23R_a5d007_20260513T215350Z,train,139,138,134,124,109,79
KRDU:ASA572_23R_a5db2c_20260709T201225Z,train,130,129,125,115,100,70
KRDU:ASA572_23R_a61797_20260704T200845Z,train,135,134,130,120,105,75
KRDU:ASA572_23R_a66ca5_20260719T201423Z,train,150,149,145,135,120,90
KRDU:ASA572_23R_a98386_20260531T220614Z,train,133,132,128,118,103,73
KRDU:ASA572_23R_a9c506_20260519T222140Z,train,135,134,130,120,105,75
KRDU:ASA572_23R_a9c506_20260706T203208Z,train,232,231,227,217,202,172
KRDU:ASA572_23R_aca948_20260529T220025Z,train,137,136,132,122,107,77
KRDU:ASA572_23R_aced21_20260703T203902Z,train,131,130,126,116,101,71
KRDU:ASA572_23R_acf846_20260526T214905Z,train,135,134,130,120,105,75
KRDU:ASA572_23R_ad5c30_20260716T204150Z,train,121,120,116,106,91,61
KRDU:ASA572_23R_ad7631_20260518T232125Z,train,145,144,140,130,115,85
KRDU:ASA572_23R_ad9642_20260516T213357Z,val,144,143,139,129,114,84
KRDU:ASA572_23R_ada167_20260520T213516Z,train,139,138,134,124,109,79
KRDU:ASA572_23R_adb29c_20260707T202957Z,train,117,116,112,102,87,57
KRDU:ASA677_05L_a2b1ab_20260715T093017Z,train,245,244,240,230,215,185
KRDU:ASA677_05L_a5a11a_20260709T092319Z,train,262,261,257,247,232,202
